шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
гуртові яви живі , мальовничі , ефекти акустичні давали досконалу оману " , – відгукується на виступ у львові критик степан чарнецький у часописі " неділя " .	гуртовий ява живий , мальовничий , ефект акустичний давати досконалий омана " , – відгукуватися на виступ у львів критик степан чарнецький у часопис " неділя " .	ADJ;NOM;PL FEM;INAN;N;NOM;PL ADJ;NOM;PL _ ADJ;NOM;PL _ INAN;MASC;N;NOM;PL ADJ;NOM;PL FIN;IND;IPFV;PL;PST;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ _ _ 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;INAN;MASC;N;SG ADP;ESS ESS;INAN;MASC;PROPN;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ADP;ESS ESS;INAN;MASC;N;SG _ FEM;INAN;N;NOM;SG _ _
нині зростає інтерес до біоміметики як до галузі копіювання унікальних функцій і виробничих процесів живих організмів , застосування цих технологій під час розробки й створення продукції .	нині зростати інтерес до біоміметика як до галузь копіювання унікальний функція і виробничий процес живий організм , застосування цей технологія під час розробка й створення продукція .	ADV 3;FIN;IND;IPFV;PRS;SG;V INAN;MASC;N;NOM;SG ADP;GEN FEM;GEN;INAN;N;SG CONJ ADP;GEN FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL CONJ ADJ;GEN;PL GEN;INAN;MASC;N;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL _ GEN;INAN;N;NEUT;SG DET;GEN;PL FEM;GEN;INAN;N;PL ACC;ADP ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG CONJ GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _
я підрахував , що витрачаю в середньому до 10 € в день .	я підрахувати , що витрачати в середнє до 10 € в день .	1;ANIM;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V _ CONJ 1;FIN;IND;IPFV;PRS;SG;V ADP;ESS ESS;INAN;N;NEUT;SG ADP;GEN GEN;NUM GEN;INAN;N;NEUT;PL ACC;ADP ACC;INAN;MASC;N;SG _
бажання зрозуміти й пояснити явище , принцип дії того чи іншого пристрою спонукає до пошуку інформації , висунення гіпотези , експериментування .	бажання зрозуміти й пояснити явище , принцип дія той чи інший пристрій спонукати до пошук інформація , висунення гіпотеза , експериментування .	INAN;N;NEUT;NOM;SG NFIN;PFV;V CONJ NFIN;PFV;V ACC;INAN;N;NEUT;SG _ ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG DET;GEN;MASC;SG CONJ DET;GEN;MASC;SG GEN;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _ GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _ GEN;INAN;N;NEUT;SG _
від 5 до 9 % за означений період збільшився експорт із дніпропетровської , сумської та чернігівської областей .	від 5 до 9 % за означений період збільшитися експорт із дніпропетровський , сумський та чернігівський область .	ADP;GEN GEN;NUM ADP;GEN GEN;NUM GEN;INAN;MASC;N;PL ACC;ADP ACC;ADJ;INAN;MASC;PASS;PFV;SG;V.PTCP ACC;INAN;MASC;N;SG FIN;IND;MASC;PFV;PST;SG;V INAN;MASC;N;NOM;SG ADP;GEN ADJ;FEM;GEN;SG _ ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;PL _
в основному тексті параграфа формули , визначення й поняття для зручності виділені шрифтом і кольором .	в основний текст параграф формула , визначення й поняття для зручність виділений шрифт і колір .	ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;SG FEM;INAN;N;NOM;PL _ INAN;N;NEUT;NOM;PL CONJ INAN;N;NEUT;NOM;PL ADP;GEN FEM;GEN;INAN;N;SG ADJ;NOM;PASS;PFV;PL;V.PTCP INAN;INS;MASC;N;SG CONJ INAN;INS;MASC;N;SG _
поверхня посудини тоді вигладжувалась зглядно потім ще примазувалась .	поверхня посудина тоді вигладжуватися зглядно потім ще примазуватися .	FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG ADV FEM;FIN;IND;IPFV;PST;SG;V ADV ADV ADV FEM;FIN;IND;IPFV;PST;SG;V _
правда , коректив був в особі моєї матері та в листах дядька драгоманова , якого вважаю своїм учителем , бо дуже багато завдячую йому в моїх поглядах на науку , релігію , громадське життя і т . і .	правда , коректив бути в особа мій мати та в лист дядько драгоманов , який вважати свій учитель , бо дуже багато завдячувати він в мій погляд на наука , релігія , громадський життя і т. . і. .	ADV _ INAN;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V ADP;ESS ANIM;ESS;FEM;N;SG 1;DET;FEM;GEN;SG ANIM;FEM;GEN;N;SG CONJ ADP;ESS ESS;INAN;MASC;N;PL ANIM;GEN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG _ ACC;ANIM;DET;MASC;SG 1;FIN;IND;IPFV;PRS;SG;V DET;INS;MASC;REFL;SG ANIM;INS;MASC;N;SG _ CONJ ADV ADV 1;FIN;IND;IPFV;PRS;SG;V 3;DAT;MASC;PRO;SG ADP;ESS 1;DET;ESS;PL ESS;INAN;MASC;N;PL ACC;ADP ACC;FEM;INAN;N;SG _ ACC;FEM;INAN;N;SG _ ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG CONJ ACC;ADJ;NEUT;SG _ ACC;INAN;N;NEUT;SG _
так чи інак , саме з 2009 року будівництво в офіційних документах починають називати реконструкцією .	так чи інак , саме з 2009 рік будівництво в офіційний документ починати називати реконструкція .	ADV CONJ ADV _ PART ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ACC;INAN;N;NEUT;SG ADP;ESS ADJ;ESS;PL ESS;INAN;MASC;N;PL 3;FIN;IND;IPFV;PL;PRS;V IPFV;NFIN;V FEM;INAN;INS;N;SG _
це був яскраво - рудий , банькатий , молодий жид .	це бути яскравий - рудий , банькатий , молодий жид .	INAN;NEUT;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ _ ADJ;MASC;NOM;SG _ ADJ;MASC;NOM;SG _ ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
характер глини і малий матеріал не дозволяють на спостереження і висновок щодо техніки на підставі різниць переломів .	характер глина і малий матеріал не дозволяти на спостереження і висновок щодо техніка на підстава різниця перелом .	INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG NEG;PART 3;FIN;IND;IPFV;PL;PRS;V ACC;ADP ACC;INAN;N;NEUT;SG CONJ ACC;INAN;MASC;N;SG ADP;GEN FEM;GEN;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;SG FEM;GEN;INAN;N;PL GEN;INAN;MASC;N;PL _
7 .	7 .	NOM;NUM _
обіймаю тебе і несу на руках колиску з сином , доки й житиму ... ”	обіймати ти і нести на рука колиска з син , доки й жити … ”	1;FIN;IND;IPFV;PRS;SG;V 2;ACC;ANIM;PRO;SG CONJ 1;FIN;IND;IPFV;PRS;SG;V ADP;ESS ESS;FEM;INAN;N;PL ACC;FEM;INAN;N;SG ADP;INS ANIM;INS;MASC;N;SG _ ADV PART 1;FIN;FUT;IND;IPFV;SG;V _ _
хотілось би зпитати , ви плануєте друкувати книгу коннора франти " робота в процесі " ?	хотітися би зпитати , ви планувати друкувати книга коннор франта " робота в процес " ?	FIN;IND;IPFV;NEUT;PST;SG;V COND;V NFIN;PFV;V _ 2;ANIM;NOM;PL;PRO 2;FIN;IND;IPFV;PL;PRS;V IPFV;NFIN;V ACC;FEM;INAN;N;SG ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG _ FEM;INAN;N;NOM;SG ADP;ESS ESS;INAN;MASC;N;SG _ _
серед них , наприклад , міститься схожий на шаруватий пиріг агат , зелений або голубувато - зелений амазоніт , строката яшма , в’язкий різновид кам’яного вугілля — гагат , рожевий або червоний сердолік , напівпрозорий халцедон , а також скам’яніле дерево та ін .	серед вони , наприклад , міститися схожий на шаруватий пиріг агат , зелений або голубуватий - зелений амазоніт , строкатий яшма , в’язкий різновид кам’яний вугілля — гагат , рожевий або червоний сердолік , напівпрозорий халцедон , а також скам’янілий дерево та ін. .	ADP;GEN 3;GEN;PL;PRO _ ADV _ 3;FIN;IND;IPFV;PRS;SG;V ADJ;MASC;NOM;SG ACC;ADP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG INAN;MASC;N;NOM;SG _ ADJ;MASC;NOM;SG CONJ ADJ _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _ INAN;MASC;N;NOM;SG _ ADJ;MASC;NOM;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ CONJ ADV ACT;ADJ;NEUT;NOM;PFV;SG;V.PTCP INAN;N;NEUT;NOM;SG CONJ INAN;N;NEUT;NOM;PL _
надурили мене в фокстроті .	надурити я в фокстрот .	FIN;IND;PFV;PL;PST;V 1;ACC;ANIM;PRO;SG ADP;ESS ESS;INAN;MASC;N;SG _
ну просто як здитинився чоловік або впав з неба , нічого не навчившись за ці тринадцять років революції й не засвоївши досі , що далеко не все , що думаєш , можна одверто прилюдно казати ...	ну просто як здитинитися чоловік або впасти з небо , ніщо не навчитися за цей тринадцять рік революція й не засвоїти досі , що далеко не все , що думати , можна одверто прилюдно казати ...	PART PART PART FIN;IND;MASC;PFV;PST;SG;V ANIM;MASC;N;NOM;SG CONJ FIN;IND;MASC;PFV;PST;SG;V ADP;GEN GEN;INAN;N;NEUT;SG _ GEN;INAN;PRO NEG;PART PFV;PST;V;V.CVB ACC;ADP ACC;DET;INAN;PL ACC;NUM GEN;INAN;MASC;N;PL FEM;GEN;INAN;N;SG CONJ NEG;PART PFV;PST;V;V.CVB ADV _ CONJ ADV NEG;PART ACC;INAN;NEUT;PRO;SG _ CONJ 2;FIN;IND;IPFV;PRS;SG;V _ ADV ADV ADV IPFV;NFIN;V _
ми винесли товар на смітник .	ми винести товар на смітник .	1;ANIM;NOM;PL;PRO FIN;IND;PFV;PL;PST;V ACC;INAN;MASC;N;SG ACC;ADP ACC;INAN;MASC;N;SG _
і ми летимо вниз .	і ми летіти вниз .	CONJ 1;ANIM;NOM;PL;PRO 1;FIN;IND;IPFV;PL;PRS;V ADV _
поняття архетипів та колективного несвідомого надзвичайно сильно вплинули на формування ідеології неогерманської релігії ... .	поняття архетип та колективний несвідоме надзвичайно сильно вплинути на формування ідеологія неогерманський релігія … .	INAN;N;NEUT;NOM;PL GEN;INAN;MASC;N;PL CONJ ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG ADV ADV FIN;IND;PFV;PL;PST;V ACC;ADP ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ _
— іди собі ! — гукнув голова , бачачи , що в неї й річ відтяло .	— іти себе ! — гукнути голова , бачити , що в вона й річ відтяти .	_ 2;FIN;IMP;IPFV;SG;V DAT;PRO;REFL _ _ FIN;IND;MASC;PFV;PST;SG;V ANIM;MASC;N;NOM;SG _ IPFV;PRS;V;V.CVB _ CONJ ADP;GEN 3;FEM;GEN;PRO;SG PART ACC;FEM;INAN;N;SG FIN;IND;NEUT;PFV;PST;SG;V _
виявилося , що дочка одного із селян – художниця , і все зробила власними руками .	виявитися , що дочка один із селянин – художниця , і все зробити власний рука .	FIN;IND;NEUT;PFV;PST;SG;V _ CONJ ANIM;FEM;N;NOM;SG DET;GEN;MASC;SG ADP;GEN ANIM;GEN;MASC;N;PL _ ANIM;FEM;N;NOM;SG _ CONJ ACC;INAN;NEUT;PRO;SG FEM;FIN;IND;PFV;PST;SG;V ADJ;INS;PL FEM;INAN;INS;N;PL _
робота велася відразу за кількома напрямами , проте підібратися до дуже обережного генерала , до найближчого оточення якого входили виключно родичі , було вкрай важко .	робота вестися відразу за кілька напрям , проте підібратися до дуже обережний генерал , до найближчий оточення який входити виключно родич , бути вкрай важко .	FEM;INAN;N;NOM;SG FEM;FIN;IND;IPFV;PST;SG;V ADV ADP;INS DET;INS INAN;INS;MASC;N;PL _ CONJ NFIN;PFV;V ADP;GEN ADV ADJ;GEN;MASC;SG ANIM;GEN;MASC;N;SG _ ADP;GEN ADJ;GEN;NEUT;RL;SG GEN;INAN;N;NEUT;SG DET;GEN;MASC;SG FIN;IND;IPFV;PL;PST;V ADV ANIM;MASC;N;NOM;PL _ FIN;IND;IPFV;NEUT;PST;SG;V ADV ADV _
ой мав я жінку уляночку ...	ой мати я жінка уляночка ...	INTJ FIN;IND;IPFV;MASC;PST;SG;V 1;ANIM;NOM;PRO;SG ACC;ANIM;FEM;N;SG ACC;ANIM;FEM;PROPN;SG _
уродженцем села є співак - бас , соліст хорової капели " думка " володимир вітвиновський ( 1924 - 1999 ) , український поет петриченко олександр тихонович ( 1923 ) .	уродженець село бути співак - бас , соліст хоровий капела " думка " володимир вітвиновський ( 1924 - 1999 ) , український поет петриченко олександр тихонович ( 1923 ) .	ANIM;INS;MASC;N;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ FEM;INAN;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ NOM;NUM _ NOM;NUM _ _ ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ NOM;NUM _ _
від редакції :	від редакція :	ADP;GEN FEM;GEN;INAN;N;SG _
ще зовсім трішечки лишилося , і мама зможе сама давати собі раду .	ще зовсім трішечки лишитися , і мама змогти сам давати себе рада .	ADV ADV ADV FIN;IND;NEUT;PFV;PST;SG;V _ CONJ ANIM;FEM;N;NOM;SG 3;FIN;FUT;IND;PFV;SG;V DET;FEM;NOM;REFL;SG IPFV;NFIN;V DAT;PRO;REFL ACC;FEM;INAN;N;SG _
але не вбив людини .	але не вбити людина .	CONJ NEG;PART FIN;IND;MASC;PFV;PST;SG;V ANIM;FEM;GEN;N;SG _
на касі сказали , що база висне і товарний чек вони мені дати не зможуть .	на каса сказати , що база виснути і товарний чек вони я дати не змогти .	ADP;ESS ESS;FEM;INAN;N;SG FIN;IND;PFV;PL;PST;V _ CONJ FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V CONJ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;NOM;PL;PRO 1;ANIM;DAT;PRO;SG NFIN;PFV;V NEG;PART 3;FIN;FUT;IND;PFV;PL;V _
левко озирається довкола , зітхає немічно худими грудьми і манить марфу пальцем за пошту .	левко озиратися довкола , зітхати немічно худий груди і манити марфа палець за пошта .	ANIM;MASC;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V ADV _ 3;FIN;IND;IPFV;PRS;SG;V ADV ADJ;INS;PL INAN;INS;N CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;ANIM;FEM;PROPN;SG INAN;INS;MASC;N;SG ACC;ADP ACC;FEM;INAN;N;SG _
