brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
på trods af deres nyerhvervede status som ægtefolk , fik lise pedersen og vladimir pimonov ikke fred for myndighederne , der nu gjorde det svært for lise pedersen at få forlænget sin opholdstilladelse .	på trods af deres nyerhvervet status som ægtefolk , få lise pedersen og vladimir pimonov ikke fred for myndighed , der nu gøre det svær for lise pedersen at få forlænge sin opholdstilladelse .	ADP INDF;MASC+FEM;N;SG ADP 3;DET;PSSP ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;PL _ ACT;FIN;IND;PST;V PROPN PROPN CONJ PROPN PROPN ADV INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL _ PRO ADV ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADJ;INDF;NEUT;SG ADP PROPN PROPN PART ACT;NFIN;V INDF;PST;SG;V;V.PTCP 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG _
opgørelsen , der dækker de 27 hjerte-transplantationer på rigshospitalet fra 1. september 1990 og et år frem , er netop , hvad conny dideriksen ( s ) som formand for frederiksborg amts sundhedsudvalg har bedt sundhedsministeriet om at skaffe .	opgørelse , der dække den 27 hjerte-transplantation på rigshospital fra 1. september 1990 og en år frem , være netop , hvad conny dideriksen ( s ) som formand for frederiksborg amt sundhedsudvalg have bede sundhedsministerium om at skaffe .	DEF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V DET;PL NUM INDF;MASC+FEM;N;PL ADP DEF;N;NEUT;SG ADP ADJ INDF;MASC+FEM;N;SG NUM CONJ DET;NEUT;SG INDF;N;NEUT;SG ADV _ ACT;FIN;IND;PRS;V ADV _ PRO;SG PROPN PROPN _ PROPN _ ADP INDF;MASC+FEM;N;SG ADP PROPN GEN;INDF;N;NEUT;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DEF;N;NEUT;SG ADP PART ACT;NFIN;V _
han ventes også at besøge de andre tre medlemmer af golfens samarbejdsråd ( gcc ) - bahrain , qatar og oman - inden han vender hjem .	han vente også at besøge den anden tre medlem af golfen samarbejdsråd ( gcc ) - bahrain , qatar og oman - inden han vende hjem .	3;MASC+FEM;NOM;PRO;SG FIN;IND;PASS;PRS;V ADV PART ACT;NFIN;V DET;PL DET;PL NUM INDF;N;NEUT;PL ADP GEN;PROPN INDF;N;NEUT;SG _ PROPN _ _ PROPN _ PROPN CONJ PROPN _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV _
på et eller andet tidspunkt må jeg alligevel være skvattet hen .	på en eller anden tidspunkt måtte jeg alligevel være skvatte hen .	ADP DET;NEUT;SG CONJ NEUT;PRO;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ADV ACT;NFIN;V INDF;PST;SG;V;V.PTCP ADV _
jul i norge	jul i norge	INDF;MASC+FEM;N;SG ADP PROPN
rubrik	rubrik	INDF;MASC+FEM;N;SG
operrarer har vivaldi også skrevet mange af og i 1927 udkommer der 4 nye operarer	operrarer have vivaldi også skrive mange af og i 1927 udkomme der 4 ny operarer	_ ACT;FIN;IND;PRS;V _ ADV INDF;PST;SG;V;V.PTCP ADJ;PL ADV CONJ ADP NUM ACT;FIN;IND;PRS;V ADV NUM ADJ;PL _
på lørdag skal danskerne mindes om , at det er godt at se danske film i biograferne .	på lørdag skulle dansker minde om , at det være god at se dansk film i biograf .	ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;PL NFIN;PASS;V ADP _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG PART ACT;NFIN;V ADJ;PL INDF;MASC+FEM;N;PL ADP DEF;MASC+FEM;N;PL _
det gjorde nathan så , men ikke så længe .	det gøre nathan så , men ikke så længe .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V PROPN ADV _ CONJ ADV ADV ADV _
amtet skønner , at op mod 100 handicappede har brugt eller bruger staveplader .	amt skønne , at op mod 100 handicappet have bruge eller bruge staveplade .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V _ CONJ ADV ADP NUM ADJ;PL ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP CONJ ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;PL _
landsholdsspilleren , lars elstrup , og jens madsen blev udvist .	landsholdsspiller , lars elstrup , og jens madsen blive udvise .	DEF;MASC+FEM;N;SG _ PROPN PROPN _ CONJ PROPN PROPN ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP _
den havde nemlig efter cd's opfattelse fejl og mangler , der gjorde , at vi anså det for ubegribeligt , at en borgerlig regering ville stå fadder til den .	den have nemlig efter cd opfattelse fejl og mangel , der gøre , at vi anse det for ubegribelig , at en borgerlig regering ville stå fadder til den .	3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PST;V ADV ADP GEN;PROPN INDF;MASC+FEM;N;SG INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PST;V _ CONJ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADP ADJ;INDF;NEUT;SG _ CONJ DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ACT;NFIN;V INDF;MASC+FEM;N;SG ADP 3;ACC;MASC+FEM;PRO;SG _
anret fiskestykkerne sammen med kålen og porreringene , hæld lidt af saucen over fisken og drys skinken over .	anrette fiskestykke sammen med kål og porrering , hælde lidt af sauce over fisk og drysse skinke over .	IMP;V DEF;N;NEUT;PL ADV ADP DEF;MASC+FEM;N;SG CONJ DEF;MASC+FEM;N;PL _ IMP;V ADJ;INDF;SG ADP DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG CONJ IMP;V DEF;MASC+FEM;N;SG ADV _
jørgen vetter sagde på personaleforeningens vegne , at medarbejderne var enige i målet om et bedre resultat på bundlinien og en bedre konsolidering .	jørgen vetter sige på personaleforening vegne , at medarbejder være enig i mål om en god resultat på bundlinie og en god konsolidering .	PROPN PROPN ACT;FIN;IND;PST;V ADP DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;PL _ CONJ DEF;MASC+FEM;N;PL ACT;FIN;IND;PST;V ADJ;PL ADP DEF;N;NEUT;SG ADP DET;NEUT;SG ADJ;CMPR INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG CONJ DET;MASC+FEM;SG ADJ;CMPR INDF;MASC+FEM;N;SG _
" vi har klare beviser på , at den mand fyrer unge , når de fylder 18 år . "	" vi have klar bevis på , at den mand fyre ung , når de fylde 18 år . "	_ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V ADJ;PL INDF;N;NEUT;PL ADP _ CONJ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ;PL _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V NUM INDF;N;NEUT;PL _ _
jamen ... javel ... jamen , jeg er der lige med det straks ...	jamen ... javel ... jamen , jeg være der lige med det straks ...	CONJ _ INTJ _ CONJ _ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ADP 3;ACC;NEUT;PRO;SG ADV _
men det er dyrt at holde dem i fart .	men det være dyr at holde de i fart .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG PART ACT;NFIN;V 3;ACC;PL;PRO ADP INDF;MASC+FEM;N;SG _
han sagde , at udgangsforbudet havde hjulpet , og at der var roligt i kirovabad .	han sige , at udgangsforbud have hjælpe , og at der være rolig i kirovabad .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V _ CONJ DEF;N;NEUT;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP _ CONJ CONJ ADV ACT;FIN;IND;PST;V ADJ;INDF;NEUT;SG ADP PROPN _
hvordan mon hun havde det nu ?	hvordan mon hun have det nu ?	ADV ADV 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADV _
du må gå nu . "	du måtte gå nu . "	2;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V ADV _ _
boksen er et resultat af et af rockhistoriens mest ambitiøse plade-projekter : den rummer den komplette række af originale indspilninger fra elvis' produktion i 50'erne	boks være en resultat af en af rockhistorie mest ambitiøs plade-projekt : den rumme den komplet række af original indspilning fra elvis produktion i 50'er	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;NEUT;SG INDF;N;NEUT;SG ADP NEUT;PRO;SG ADP DEF;GEN;MASC+FEM;N;SG ADV;RL ADJ;PL INDF;N;NEUT;PL _ 3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP GEN;PROPN INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL
selvfølgelig er det lars olsens plads , men det er godt at have noget at kæmpe for .	selvfølgelig være det lars olsen plads , men det være god at have nogen at kæmpe for .	ADV ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG PROPN GEN;PROPN INDF;MASC+FEM;N;SG _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG PART ACT;NFIN;V NEUT;PRO;SG PART ACT;NFIN;V ADP _
lærer og censor kan have det ligesådan , og derfor skal du først og fremmest øve dig i at undgå at lave dumme fejl , når du sidder ved det grønne bord .	lærer og censor kunne have det ligesådan , og derfor skulle du først og fremmest øve du i at undgå at lave dum fejl , når du sidde ved den grøn bord .	INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ACT;NFIN;V 3;ACC;NEUT;PRO;SG ADV _ CONJ ADV ACT;FIN;IND;PRS;V 2;MASC+FEM;NOM;PRO;SG ADV CONJ ADJ;INDF;SG ACT;NFIN;V 2;ACC;MASC+FEM;PRO;SG ADP PART ACT;NFIN;V PART ACT;NFIN;V ADJ;PL INDF;MASC+FEM;N;PL _ CONJ 2;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _
de tre favoritter er british steel plc , det tyske thyssen ag og det svenske ssab svenskt stål ab .	den tre favorit være british steel plc , den tysk thyssen ag og den svensk ssab svenskt stål ab .	DET;PL NUM INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V PROPN PROPN PROPN _ DET;NEUT;SG ADJ;DEF;SG PROPN PROPN CONJ DET;NEUT;SG ADJ;DEF;SG PROPN PROPN PROPN PROPN _
han spyttede arrigt ordene ud .	han spytte arrigt ord ud .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV DEF;N;NEUT;PL ADV _
samtidig med at vi lærer verden at kende , lærer vi vores første sprog .	samtidig med at vi lære verden at kende , lære vi vores første sprog .	ADV ADP CONJ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG PART ACT;NFIN;V _ ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO 1;DET;PSSP ADJ INDF;N;NEUT;SG _
der er tre ting , der synes at kunne dække motivet .	der være tre ting , der synes at kunne dække motiv .	ADV ACT;FIN;IND;PRS;V NUM INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PRS;V PART ACT;NFIN;V ACT;NFIN;V DEF;N;NEUT;SG _
i år regner vi med at sælge 700 ton - det svarer til 2,8 millioner pakker , fortæller produktchef lars bred , tholstrup cheese .	i år regne vi med at sælge 700 ton - det svare til 2,8 million pakke , fortælle produktchef lars bred , tholstrup cheese .	ADP INDF;N;NEUT;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ADP PART ACT;NFIN;V NUM INDF;N;NEUT;PL _ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _ ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG PROPN PROPN _ PROPN PROPN _
og jeg gik alt for vidt . "	og jeg gå alt for vidt . "	CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV ADV ADV _ _
" cylinderlåsen " skal have et passende antal stifter eller skiver for at kunne betegnes som sikker .	" cylinderlås " skulle have en passende antal stift eller skive for at kunne betegne som sikker .	_ DEF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V ACT;NFIN;V DET;NEUT;SG ADJ INDF;N;NEUT;SG INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;PL ADP PART ACT;NFIN;V NFIN;PASS;V ADP ADJ;INDF;MASC+FEM;SG _
i nat kan der komme lidt regn de fleste steder , og de laveste temperaturer bliver mellem 10 og 15 grader .	i nat kunne der komme lidt regn den mange sted , og den lav temperatur blive mellem 10 og 15 grad .	ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V ADJ;INDF;SG INDF;MASC+FEM;N;SG DET;PL ADJ;DEF;PL;RL INDF;N;NEUT;PL _ CONJ DET;PL ADJ;DEF;RL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP NUM CONJ NUM INDF;MASC+FEM;N;PL _
fik du den ?	få du den ?	ACT;FIN;IND;PST;V 2;MASC+FEM;NOM;PRO;SG 3;ACC;MASC+FEM;PRO;SG _
og kendere af den skotske sækkepibe ( ikke uden grund kaldet warpipes ) vil ikke forbavses over , at denne i volumenmæssig henseende var i stand til at holde guitaristerne stangen .	og kender af den skotsk sækkepibe ( ikke uden grund kalde warpipes ) ville ikke forbavse over , at denne i volumenmæssig henseende være i stand til at holde guitarist stang .	CONJ INDF;MASC+FEM;N;PL ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ ADV ADP INDF;MASC+FEM;N;SG INDF;PST;SG;V;V.PTCP _ _ ACT;FIN;IND;PRS;V ADV NFIN;PASS;V ADP _ CONJ MASC+FEM;PRO;SG ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADP INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V DEF;MASC+FEM;N;PL DEF;MASC+FEM;N;SG _
baren er mørk og aflang og fuld af forretningsmænd .	bar være mørk og aflang og fuld af forretningsmand .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ;INDF;MASC+FEM;SG CONJ ADJ;INDF;MASC+FEM;SG CONJ ADJ;INDF;MASC+FEM;SG ADP INDF;MASC+FEM;N;PL _
sammen med to kolleger fra århus universitet har hun kortlagt , hvem der stemte nej den 2. juni - og hvorfor .	sammen med to kollega fra århus universitet have hun kortlægge , hvem der stemme nej den 2. juni - og hvorfor .	ADV ADP NUM INDF;MASC+FEM;N;PL ADP PROPN INDF;N;NEUT;SG ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG INDF;PST;SG;V;V.PTCP _ MASC+FEM;PRO ADV ACT;FIN;IND;PST;V INDF;N;NEUT;SG DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG _ CONJ ADV _
så langt ned i brønden faldt morten : 25 m. .	så langt ned i brønd falde morten : 25 meter .	ADV ADV ADV ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V PROPN _ NUM INDF;MASC+FEM;N;PL _
interessentskaberne betragtes i visse kredse - især visse politiske - som en omgåelse af loven om andelsboliger , og derfor er det ikke den konstruktion , svend trangeled først og fremmest vil anbefale .	interessentskab betragte i vis kreds - især vis politisk - som en omgåelse af lov om andelsbolig , og derfor være det ikke den konstruktion , svend trangeled først og fremmest ville anbefale .	DEF;N;NEUT;PL FIN;IND;PASS;PRS;V ADP ADJ;PL INDF;MASC+FEM;N;PL _ ADV ADJ;PL ADJ;PL _ ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;PL _ CONJ ADV ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ PROPN PROPN ADV CONJ ADJ;INDF;SG ACT;FIN;IND;PRS;V ACT;NFIN;V _
paradis	paradis	INDF;N;NEUT;SG
reduktionen må nødvendigvis ske i jyske division , hvis formål i det store og hele er forsvundet sammen med krigstruslen fra øst .	reduktion måtte nødvendigvis ske i jysk division , hvis formål i den stor og hel være forsvinde sammen med krigstrussel fra øst .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V ADP ADJ;DEF;SG INDF;MASC+FEM;N;SG _ GEN;PRO INDF;N;NEUT;SG ADP DET;NEUT;SG ADJ;DEF;SG CONJ ADJ;DEF;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADP DEF;MASC+FEM;N;SG ADP INDF;N _
toiletter , gangarealer , pædagogernes the-køkken og så videre .	toilet , gangareal , pædagog the-køkken og så videre .	INDF;N;NEUT;PL _ INDF;N;NEUT;PL _ DEF;GEN;MASC+FEM;N;PL INDF;N;NEUT;SG CONJ ADV ADV _
i slesvig-holsten skal vi bruge 70-90 dage for blot at klare de formelle ting .	i slesvig-holsten skulle vi bruge 70-90 dag for blot at klare den formel ting .	ADP PROPN ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ACT;NFIN;V NUM INDF;MASC+FEM;N;PL ADP ADV PART ACT;NFIN;V DET;PL ADJ;PL INDF;MASC+FEM;N;PL _
lad os få ham , " råbte den desperate mor , lydia khobotova , mens hun prøvede at presse sig forbi vagterne foran chikatilo , som brutalt myrdede hendes 10-årige søn .	lade vi få han , " råbe den desperat mor , lydia khobotova , mens hun prøve at presse sig forbi vagt foran chikatilo , som brutalt myrde hendes 10-årig søn .	IMP;V 1;ACC;MASC+FEM;PL;PRO ACT;NFIN;V 3;ACC;MASC+FEM;PRO;SG _ _ ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ PROPN PROPN _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V PART ACT;NFIN;V 3;ACC;PRO;REFL ADP DEF;MASC+FEM;N;PL ADP PROPN _ PRO ADV ACT;FIN;IND;PST;V 3;DET;PSSS ADJ;DEF;SG INDF;MASC+FEM;N;SG _
byggeriet er budgetteret til 100 millioner kroner .	byggeri være budgettere til 100 million krone .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _
vinden var løjet noget af , og ilden havde stabiliseret sig .	vind være løje nogen af , og ild have stabilisere sig .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP NEUT;PRO;SG ADV _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP 3;ACC;PRO;REFL _
" det er , som om det kun er slovakerne , der er noget i vejen med , " erklærede han .	" det være , som om det kun være slovak , der være nogen i vej med , " erklære han .	_ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V _ ADV ADP 3;ACC;NEUT;PRO;SG ADV ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PRS;V NEUT;PRO;SG ADP DEF;MASC+FEM;N;SG ADP _ _ ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG _
men han er nu blandt de tre danskere , der frivilligt er kommet hjem fra thailand til varetægtsfængsling i danmark , fordi de ellers risikerede at blive kastet i thailandsk fængsel i afventen på udlevering til danmark .	men han være nu blandt den tre dansker , der frivilligt være komme hjem fra thailand til varetægtsfængsling i danmark , fordi de ellers risikere at blive kaste i thailandsk fængsel i afvente på udlevering til danmark .	CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP DET;PL NUM INDF;MASC+FEM;N;PL _ PRO ADV ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADP PROPN ADP INDF;MASC+FEM;N;SG ADP PROPN _ CONJ 3;NOM;PL;PRO ADV ACT;FIN;IND;PST;V PART ACT;NFIN;V INDF;PST;SG;V;V.PTCP ADP ADJ;INDF;SG INDF;N;NEUT;SG ADP V;V.MSDR ADP INDF;MASC+FEM;N;SG ADP PROPN _
de må lære at acceptere forskelligheder uden at udgrænse den .	de måtte lære at acceptere forskellighed uden at udgrænse den .	3;NOM;PL;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V PART ACT;NFIN;V INDF;MASC+FEM;N;PL ADP PART ACT;NFIN;V 3;ACC;MASC+FEM;PRO;SG _
i resolutionen fra ef-parlamentet slås det fast , at der ikke kan blive tale om nogen genforhandling af maastricht-aftalen , at de danske særkrav strider mod ånden i unions-aftalen , og at der ikke kan blive tale om noget ef " a la carte " - d.v.s. at de enkelte ef-lande ikke blot kan vælge de dele af ef-samarbejdet , som de synes om .	i resolution fra ef-parlament slå det fast , at der ikke kunne blive tale om nogen genforhandling af maastricht-aftale , at den dansk særkrav stride mod ånd i unions-aftale , og at der ikke kunne blive tale om nogen ef " a la carte " - det_vil_sige at den enkelt ef-land ikke blot kunne vælge den del af ef-samarbejde , som de synes om .	ADP DEF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG FIN;IND;PASS;PRS;V 3;ACC;NEUT;PRO;SG ADV _ CONJ ADV ADV ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _ CONJ DET;PL ADJ;PL INDF;N;NEUT;PL ACT;FIN;IND;PRS;V ADP DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _ CONJ CONJ ADV ADV ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;MASC+FEM;N;SG ADP DET;NEUT;SG PROPN _ _ _ _ _ _ ADV CONJ DET;PL ADJ;PL INDF;N;NEUT;PL ADV ADV ACT;FIN;IND;PRS;V ACT;NFIN;V DET;PL INDF;MASC+FEM;N;PL ADP DEF;N;NEUT;SG _ ADP 3;NOM;PL;PRO ACT;FIN;IND;PRS;V ADP _
men for den , der har bivånet to verdenskrige , og som nu oplever en verden i angst for den tredje og sidste .	men for den , der have bivåne to verdenskrig , og som nu opleve en verden i angst for den tredje og sidste .	CONJ ADP 3;ACC;MASC+FEM;PRO;SG _ PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP NUM INDF;MASC+FEM;N;PL _ CONJ ADP ADV ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ CONJ ADJ _
at være en hvid er slemt - pi for politically incorrect - men at være hvid mand er nok noget af det værste , man kan være .	at være en hvid være slem - pi for politically incorrect - men at være hvid mand være nok nogen af den slem , man kunne være .	PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG _ PROPN ADP _ _ _ CONJ PART ACT;NFIN;V ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV NEUT;PRO;SG ADP DET;NEUT;SG ADJ;DEF;RL _ MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V _
det så vældig godt ud , der var også udleveret henved 100 fakler .	det se vældig god ud , der være også udlevere henvide 100 fakkel .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADV _ PRO ACT;FIN;IND;PST;V ADV INDF;PST;SG;V;V.PTCP ACT;FIN;IND;PRS;V NUM INDF;MASC+FEM;N;PL _
send kuponen med det samme til : hjemmet , postboks 2441 , 1024 københavn k.	sende kupon med den samme til : hjem , postboks 2441 , 1024 københavn k.	IMP;V DEF;MASC+FEM;N;SG ADP DET;NEUT;SG ADJ ADP _ DEF;N;NEUT;SG _ INDF;MASC+FEM;N;SG NUM _ NUM PROPN PROPN
" det er et rent uheld .	" det være en ren uheld .	_ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
det er vel ikke engang udelukket , at den på ny dukker op .	det være vel ikke engang udelukke , at den på ny dukke op .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ADV INDF;PST;SG;V;V.PTCP _ CONJ 3;ACC;MASC+FEM;PRO;SG ADP ADJ;RL ACT;FIN;IND;PRS;V ADV _
karadzic sagde , at den forestående , strenge vinter samt indbyrdes aftaler mellem de velbevæbnede serbiske og kroatiske minoritetsgrupper på bekostning af muslimerne ville fremskynde en afslutning på konflikten .	karadzic sige , at den forestående , streng vinter samt indbyrdes aftale mellem den velbevæbnet serbisk og kroatisk minoritetsgruppe på bekostning af muslim ville fremskynde en afslutning på konflikt .	PROPN ACT;FIN;IND;PST;V _ CONJ DET;MASC+FEM;SG ADJ _ ADJ;DEF;SG INDF;MASC+FEM;N;SG CONJ ADJ INDF;MASC+FEM;N;PL ADP DET;PL ADJ;PL ADJ;PL CONJ ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL ACT;FIN;IND;PST;V ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
og tillige er dette den mest vellydende og troværdige digitalisering af gamle optagelser , vi har hørt .	og tillige være denne den mest vellydende og troværdig digitalisering af gammel optagelse , vi have høre .	CONJ ADV ACT;FIN;IND;PRS;V NEUT;PRO;SG DET;MASC+FEM;SG ADV;RL ADJ CONJ ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL _ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _
der er sket noget , hedder en roman af joseph heller .	der være ske nogen , hedde en roman af joseph heller .	ADV ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP NEUT;PRO;SG _ ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP PROPN PROPN _
de eventuelle andre , vel at mærke .	den eventuel anden , vel at mærke .	DET;PL ADJ;PL DET;PL _ ADV PART ACT;NFIN;V _
sc	sc	_
